职位名称,公司名称,公司类型,公司规模,薪酬,学历,工作经验,是否全职,职位页面,岗位职责
交付工程师,百融云创科技股份有限公司,股份制企业,500-999人,6K-8K,本科,1-3年,全职,https://jobs.zhaopin.com/CC681448026J00108425514.htm,"岗位职责：1.售前阶段，辅助商务解答客户技术问题，介绍对接流程；2.负责技术支持，与客户方技术人员沟通，推动实施部署工作；3.负责产品实施过程中的疑问解答和问题处理，指导客户的对接工作；4.产品上线后，负责对客户信息实时跟踪，及时发现问题并跟进解决；5.负责重点客户主动管理，收集客户需求和反馈，推动产品优化以提升客户体验，增强客户粘性。岗位要求：1.统招本科，计算机相关专业；2.了解java技术以及json相关知识；3.掌握一定的网络知识，有一定的网络故障判断能力；4.逻辑思维清晰，具有良好的文字及语言表达能力，优秀的团队合作精神；5.有良好的沟通能力和客户服务意识，有很强的工作主动性和责任心。"
U3D客户端程序,上海一颗种子网络科技有限公司,民营,20人以下,12K-20K,本科,1-3年,全职,https://jobs.zhaopin.com/CZ727144380J00012437007.htm,"职位：客户端游戏程序员岗位职责：-参与海外高品质游戏开发，与相关技术的精英一同负责基于Android、iOS等智能终端平台的网络游戏。岗位要求：-本科及以上学历，计算机相关专业优先考虑-2年及以上Unity3D项目开发经验，有手机网络游戏开发经验优先考虑。-具备扎实的C#语言基础、数据结构及算法基础和丰富的debug经验，熟悉常用设计模式、多线程和网络编程。-熟悉图形学者优先考虑。-有iOS或Android经验者优先考虑。"
Python工程师,上海集钢电子商务有限公司,民营,100-499人,6K-8K,大专,不限,全职,https://jobs.zhaopin.com/399612635356609.htm,"岗位职责:1.后端实现，保障稳定性、性能。包括需求分析分解、设计、开发;2.与产品其他部分联动，使用规范的流程思维，定义接口设计并跟进完成;3.处理服务端开发中的常见问题;任职要求:1.计算机等相关专业的专科以上学历；2.熟练使用 Python 及 Linux环境，Redis、MySQL数据；3.熟悉敏捷开发；4.具备良好的团队合作和沟通能力，具备良好的学习钻研能力；5.优越的办公环境，朝九晚六周末双休，"
python开发工程师,上海淘利资产管理有限公司,民营,20-99人,10K-15K,本科,1-3年,全职,https://jobs.zhaopin.com/CC430487518J00325528908.htm,"岗位职责：1）  参与公司产品研发与项目开发工作，在充分理解业务需求基础上，完成基于WEB的应用系统的需求、设计、用户手册等各类技术文档撰写；2）  按时高质量地完成WEB应用系统各种前后端模块的编码开发和调试工作；3）  协助完成WEB应用系统的部署与上线运营，后期维护工作；4）  参与技术攻关与创新技术引用，不断完善和优化已有产品。任职要求：1） 统招本科及以上学历，信息类专业，1年以上相关工作经验；2） 前端基础知识扎实，熟练掌握原生 JavaScript/CSS3/HTML5等语言规范，能熟练使用Vue.js、Electron等开发框架者优先；3） 熟练掌握Python开发语言，能熟练使用Django开发框架者优先；4） 熟悉关系型数据库、NoSQL数据库、缓存、消息队列等常用中间件；5） 积极主动的进取心，良好的学习能力、沟通能力和团队合作精神；"
python开发工程师,上海蜗兴科技有限公司,民营,20-99人,8K-10K,大专,1-3年,全职,https://jobs.zhaopin.com/CC839265400J00260949205.htm,"任职要求：1、计算机相关专业大专及以上学历；2、有Python开发经验，熟悉Django、SQLAichemy等框架；3、熟悉SQL能进行简单的数据统计、分析；4、熟悉Web前端技能，包括HTML/CSS/JavaScript；5、对Web后端技术架构有基本的理解；6、有良好的团队合作精神，有责任感，有较好的沟通能力；7、喜欢尝试新的技术，对技术趋势和思路上能提出自己的见解。岗位职责：1、参与公司网站开发、维护、实施、测试；2、负责现有网站的维护和升级；3、负责解决开发过程中的技术问题；4、根据开发规范与流程独立完成编码、测试及相关文档；福利待遇：1、丰富多彩的集体活动（员工旅游，节日聚会，生日趴，年会等等。）2、入职购买五险一金、周末双休、员工旅游、员工体检、带薪年假。"
python开发工程师,上海益倍嘉信息技术有限公司,民营,100-499人,15K-20K,大专,3-5年,全职,https://jobs.zhaopin.com/CC497949624J00393565303.htm,"岗位职责：1、负责日常设计和开发工作；2、负责协助需求人员完成需求分析工作，编写设计文档;3、负责协助测试人员和用户完成测试；4、完成项目经理交代的其它任务；5、能够完成代码的研发工作，解决项目中关键问题和技术问题；岗位要求：1.     3年及以上相关岗位工作经验，计算机相关专业。2.     熟练掌握python语言的基本语法；3.     熟练掌握python Excel文件处理方法，如xlrd、xlwt，矩阵运算numpy；4.     熟悉python自动化开发者优先，如网页自动化、系统自动化、软件自动化等；5.     有RPA流程机器人开发经验者优先；6.     责任心强，沟通能力佳，执行能力强且善于思考。"
python架构师,上海众言网络科技有限公司,民营,100-499人,30K-40K,本科,5-10年,全职,https://jobs.zhaopin.com/CC233070517J00299528304.htm,"职位描述负责业务系统架构设计和落地；系统核心部分代码编写、指导和培训工程师、不断进行系统优化；职位要求本科（含）以上学历（一本以上），计算机相关专业；5年以上Python开发经验，2年以上架构设计经验；精通web开发框架（django/tornado/flask）精通基于Python代码的性能分析和优化；熟练掌握 MySQL、MongoDB、Redis 等常见数据库有大流量RESTful 服务设计、开发经验熟悉Linux平台环境下的开发，Shell编程；熟悉kubernetes；了解异步框架、集群与负载均衡，消息中间件等技术；具有复杂项目的管理经验以及跨部门合作能力和沟通能力"
高级python开发工程师,上海有孚网络股份有限公司,民营,100-499人,25K-40K,本科,5-10年,全职,https://jobs.zhaopin.com/CC000636993J00233315504.htm,"职位描述1.根据产品或项目的要求，参与业务分析和系统设计；2.完成编程、调试和单元测试工作；3.负责相关开发文档的编写；职位要求1.本科以上学历，计算机相关专业毕业；2个以上完整项目经验；2.有至少三年以上Python开发经验，能独立解决开发过程中遇到的各种问题；3.熟悉Django,了解HTTP协议,有Web应用程序开发经验;4.了解数据库原理,至少熟悉MySQL数据库,至少了解一种NoSQL数据库;5.熟悉Linux,对CentOS有深入了解;6.熟悉TCP/IP协议,有网络服务编程经验者优先;7.有丰富数据库使用经验者优先;8.有JAVA开发经验者优先；9.良好的编码风格和编程习惯，对高质量的代码有执着的追求;熟练掌握SVN，Git等代码版本管理工具的试用;10.良好的团队精神和沟通能力，高度的事业心和责任感，工作认真负责，具有良好的职业操守。"
python工程师,上海你福软件有限公司,民营,20-99人,15K-25K,本科,3-5年,全职,https://jobs.zhaopin.com/CC338030315J00330653708.htm,"· 本科及以上至少3年工作经历，计算机相关专业· 熟练掌握Python/C++编程语言，并有在Linux平台的开发经验· 较强的数学背景，有计算机图形学相关数学知识，并对处理大量高纬度数据有相关经验· 有AI/ML算法相关项目经验· 有软件在环SIL，硬件在环HIL等相关开发和测试经验"
python高级开发,上海众言网络科技有限公司,民营,100-499人,25K-35K,本科,5-10年,全职,https://jobs.zhaopin.com/CC233070517J00267703704.htm,"岗位要求：1、全日制统招本科及以上学历，计算机、软件工程等相关专业 ，年龄35岁以内；2、 5年及以上Web服务器端开发经验，有Python经验佳，Java、php亦可；3、有扎实的技术功底、有丰富的数据库建模经验，有丰富的性能优化经验 ；4、熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；能对分布式常用技术进行合理应用，解决问题；5、具有较深的技术架构思维，确保设计的技术方案、开发的代码有较高性能、质量保障、扩展性，前瞻性 。岗位职责：1、负责问卷网平台服务端设计和代码实现 ；2、优化现有产品的功能和体验细节 ；3、对现有平台进行性能优化 ；4、积极调研新技术，随时准备用于产品 ；在这里，你将拥有——一群让你为之骄傲的小伙伴：热情坚定、乐于分享、自我驱动、追求极致的高效团队自由平等的潜力平台：福利体系（这只是一部分）：每周两次零食水果下午茶：随便吃，妈妈再也不用担心你长不胖生日会：全体伙伴陪你过 不让你孤单社团：花样运动...... 总有人与你志同道合学习成长：Mentor带你全方位成长，助你成为专业人才欢迎你来发现更多的精彩....."
python全栈开发工程师,上海欧锐信息咨询有限公司,民营,20-99人,10K-15K,大专,3-5年,全职,https://jobs.zhaopin.com/CC175981210J00263628102.htm,"岗位职责：1.领导公司数据可视化项目,具备一定产品经理能力，有爬虫经验；2.负责可视化展示设计的各个维度（如UI设计、可视化组件开发、定制化组件等）；3.清晰、美观和逻辑的表达内容，提供流畅美观并可自定义的数据展示效果，保证兼容性与适应性；4.针对客户的需求修改界面完成快速迭代，满足客户需求。岗位要求:1.熟练使用 python .net2.熟练使用 Flask2.熟悉可视化技术，包括但不限于 Echarts、D3、ighcharts、Threejs、WebGL；3.熟悉模块化、前端编译和构建工具，熟练运用主流的 JS 库和开发框架，例如：ReactJS、VueJS、Webpack等；有VueJS经验者优先4.掌握多种图表控件库，具备表格化、图形化的数据呈现能力5.熟练使用 git、github、linux 等工具;6.有良好的编码习惯, 能够编写清晰, 易于维护的代码;加分项:1.有前端数据可视化开发经验优先2.有 Flask 开发经验优先"
python工程师,上海塑盈供应链管理有限公司,民营,100-499人,15K-20K,本科,3-5年,全职,https://jobs.zhaopin.com/CC827304260J00372537203.htm,"职责描述：1、深入理解业务流程，建立业务数据指标体系与模型；2、对接投研部门需求，基于公司先有的数据建立行情数据库分析系统；3、根据业务需求，进行数据搜集、清洗、分析挖掘工作，完成各期货产品分析报告；4、基于数据，设计调整算法，总结有价值信息，为业务决策、管理等提供支持；5、参与企业数据产品的设计与实现。任职要求：1、精通Python语言，有Web后台服务开发的实际项目经验；2、熟练掌握至少一门Python Web开发框架（Tornado、Django、Flask等)；3、熟悉掌握至少一门Python 爬虫开发框架，精通selenium;4、熟练使用至少一种数据库（MySQL/PostgreSQL/Redis/MongoDB)；5、熟悉常用数据挖掘算法（如分类、聚类、回归等，有pytorch 经验优先）；6、有独立分析和解决问题的能力，有良好的团队合作精神，7、有金融方面开发经验者优先。"
数据分析及开发工程师（Python）,上海昕跃管理咨询有限公司,股份制企业,20-99人,10K-20K,大专,不限,全职,https://jobs.zhaopin.com/CC558116225J00403873807.htm,"工作描述：1、根据业务需求完成数据收集和整理；2、配合数据分析师完成数据处理算法和应用的开发；3、研究当前成熟的数据技术对公司业务改善的可行性；岗位要求:1、精通python编程；2、可以设计编写爬虫软件收集互联网数据，最好有一定的大数据处理经验。3、有良好的代码编写和管理习惯；4、善于沟通，具备团队合作精神；5、具备良好的自学能力和独立思考解决问题的能力。"
python开发工程师,合肥新华海信息技术有限公司,外商独资,100-499人,10K-16K,本科,3-5年,全职,https://jobs.zhaopin.com/CC197855629J00394079503.htm,"岗位职责：1、负责日常设计和开发工作；2、负责协助需求人员完成需求分析工作，编写设计文档;3、负责协助测试人员和用户完成测试；4、完成项目经理交代的其它任务；5、能够完成代码的研发工作，解决项目中关键问题和技术问题；岗位要求：1. 3年及以上相关岗位工作经验，计算机相关专业。2. 熟练掌握python语言的基本语法；3. 熟练掌握python Excel文件处理方法，如xlrd、xlwt，矩阵运算numpy；4. 熟悉python自动化开发者优先，如网页自动化、系统自动化、软件自动化等；5. 有RPA流程机器人开发经验者优先；6. 责任心强，沟通能力佳，执行能力强且善于思考。"
Python后端开发（HPC/AI方向）,上海吾创信息科技有限公司,民营,100-499人,8K-12K,本科,1-3年,全职,https://jobs.zhaopin.com/CC447720719J00329803008.htm,"1、计算机、电子工程及相关专业本科及以上学历，2、2年以上Python开发经验3、熟悉Linux下开发，熟悉Django框架4、有HPC高性能计算机/AI人工智能项目经验优先5、英语良好"
python开发工程师,北京天盛京享科技有限公司,民营,20-99人,15K-20K,大专,1-3年,全职,https://jobs.zhaopin.com/CC839864870J00193548113.htm,"职位描述高级Python 程序开发。开发量化自动交易系统，配合策略师在自动化交易系统上实现策略，保证交易策略的高速稳定运行。开发量化回测系统熟悉网络通讯协议，包括web socket，rest API，和各类交易接口对接。熟悉python numpy，pandas，scikit-learn, MongoDB, MYSQL.对交易框架有一定了解。算法好，对大数据数理统计建模，数据挖掘，机器学习有一定经验和心得。熟悉爬虫，对交易所数据的收集，维护，清洗和处理。有基础的金融常识和理解。对数字货币和区块链有基础了解。职位要求:基础要求：1、全日制本科及以上学历；2、精通Python、C++或JAVA，计算机语言并能独立编写程序， 加分项：1.3年以上python开发工作经验；2.有开发量化交易系统和策略支持的经验者优先考虑；3. 有自动化交易系统开发经验者优先，有数字货币或衍生品市场交易经验者优先。"
python开发工程师,上海益倍嘉信息技术有限公司,民营,100-499人,15K-20K,大专,3-5年,全职,https://jobs.zhaopin.com/CC497949624J00393565403.htm,"岗位职责：1、负责日常设计和开发工作；2、负责协助需求人员完成需求分析工作，编写设计文档;3、负责协助测试人员和用户完成测试；4、完成项目经理交代的其它任务；5、能够完成代码的研发工作，解决项目中关键问题和技术问题；岗位要求：1.     3年及以上相关岗位工作经验，计算机相关专业。2.     熟练掌握python语言的基本语法；3.     熟练掌握python Excel文件处理方法，如xlrd、xlwt，矩阵运算numpy；4.     熟悉python自动化开发者优先，如网页自动化、系统自动化、软件自动化等；5.     有RPA流程机器人开发经验者优先；6.     责任心强，沟通能力佳，执行能力强且善于思考。"
python软件开发工程师,上海河广信息科技有限公司,股份制企业,500-999人,10K-15K,大专,3-5年,全职,https://jobs.zhaopin.com/CC425936513J00054259004.htm,"职位概述：职位名称：Python工程师工作地点：上海汇报上级：研发主管合同类型:固定期限（非外包）薪酬：15万元/年左右（可视个人情况上调）（项目奖金、年终奖等其余福利额外计算）岗位职责：1. 参与公司日常自有产品的研发工作，与产品经理沟通确认需求，并独立完成研发工作。2. 参与公司自动化运维平台开发，通过自动化工具及流程提升运维效率。3. 能够按照软件开发规范进行开发，完成相关文档的编写工作。4. 与资深研发团队建立良好的沟通与协作。任职要求：1. 热爱软件技术，对代码有洁癖。做事具有条理性，具有良好的自学能力和分析问题、解决问题的能力。2. 有 2 年以上的 Python 开发工作经验，或 2 年以上的其他语言开发经验加 1 年以上的 Python 开发经验；懂数据结构及算法。3. 熟悉 Python 的各种规范，特别是 PEP-8。4. 有扎实的计算机系统原理知识，熟悉常用算法和数据结构，熟悉网络编程。5. 熟悉一种关系型数据库（如 MySQL）或一种 NoSQL 数据库（如 MongoDB）。6. 熟悉 Linux 操作系统，具有在 Linux 下开发软件的经验。7. 熟练使用至少一种版本管理工具，有 Git 经验者优先。8. 熟悉 Kafka、RabbitMQ 等消息队列技术者优先。9. 具备运维自动化开发工作经验者优先。10. 积极参与到公司自有产品的研发扩建中。"
python 高级程序员,上海网元电子商务有限公司,合资,20-99人,10K-15K,本科,1-3年,全职,https://jobs.zhaopin.com/CC439765921J00294238901.htm,"岗位职责1、独立完成软件系统的分析；2、参与软件产品项目规划工作，制定具体项目实施方案。任职资格1.  只会做爬虫的请不要投简历，简历中也不要说爬虫;2、计算机技术或专业本科以上学历；3、熟悉Sql Server等常规数据库；热衷于产品研发和技术发展；具有强烈的责任意识和开放的心态；4、熟练掌握 Python 语言，熟悉 Flask 框架;5、事业心强，勤奋好学，有团队精神。"
Scratch/Python课程设计师,立乐教育科技(上海)有限公司,合资,20-99人,8K-15K,本科,不限,全职,https://jobs.zhaopin.com/CC457165781J00377377903.htm,"岗位职责：1、主要负责协助课程设计师团队完成产品的课程开发工作，包括教学案例作品的设计与制作相应的技术文档（教材、手册等）；2、参与编程课程开发工作，研究和设计基于公司产品的课程体系与教学模式。3、支持并提供教学老师在课前、课中以及课后所需的材料。任职资格:1、统招本科及以上学历，师范类、理工类、设计创意类相关专业；2、热爱教育行业及愿意推广编程教育、计算思维教育；3、学习能力、团队合作能力强，对前沿的科技教育有浓厚兴趣；4、具备一定编程基础，熟悉Scratch图形化编程、Python编程者优先。"
深度学习开发工程师（python）,上海华钦瑞成信息技术有限公司,其它,不限,10K-15K,本科,1-3年,全职,https://jobs.zhaopin.com/CC525555530J00324430002.htm,"Requirement：- 熟练掌握python/numpy- 对NNabla/tensorflow/Caffe有一定了解，有过相关开发经验- 对Detection/Recognition/Segmentation等任何一种有过实际算法开发经验，对YoLo等常见网络有所了解"
python实习生,上海河广信息科技有限公司,股份制企业,500-999人,6K-8K,大专,不限,实习,https://jobs.zhaopin.com/CC425936513J00114118104.htm,"职位概述：职位名称：Python工程师工作地点：上海汇报上级：研发主管合同类型:固定期限（非外包）薪酬：11万元/年左右（可视个人情况上调）（项目奖金、年终奖等其余福利额外计算）岗位职责：1. 参与公司日常自有产品的研发工作，与产品经理沟通确认需求，并独立完成研发工作。2. 参与公司自动化运维平台开发，通过自动化工具及流程提升运维效率。3. 能够按照软件开发规范进行开发，完成相关文档的编写工作。4. 与资深Python研发团队建立良好的沟通与协作。任职要求：1. 热爱软件技术，对代码有洁癖。做事具有条理性，具有良好的自学能力和分析问题、解决问题的能力。2. 熟悉 Python 的各种规范，特别是 PEP-8。3. 有扎实的计算机系统原理知识，熟悉常用算法和数据结构，熟悉网络编程。4. 熟悉一种关系型数据库（如 MySQL）或一种 NoSQL 数据库（如 MongoDB）。5. 熟悉 Linux 操作系统，具有在 Linux 下开发软件的经验。6. 熟练使用至少一种版本管理工具，有 Git 经验者优先。7. 熟悉 Kafka、RabbitMQ 等消息队列技术者优先。8. 具备运维自动化开发工作经验者优先。9. 积极参与到公司自有产品的研发扩建中。"
爬虫开发工程师（Python）,苏州万恒达新资产管理有限公司,不限,20人以下,8K-16K,本科,3-5年,全职,https://jobs.zhaopin.com/CC507517230J00309048404.htm,"岗位职责:1、负责搭建或维护爬虫系统开发网页数据的自动化爬取脚本2、负责数据的抓取、解析、清洗、入库3、研究设计爬虫模板提高扩展性加快开发效率4、持续优化系统提高系统的稳定性5、与大数据工程师对接，完成实时数据与离线数据的爬取与对接任职资格:1、三年以上爬虫开发，内容提取工作，有电商网站抓取经验者优先2、精通网页抓取原理及技术，熟悉基于COOKIE或JWT网站登录原理3、精通Python，对HTTP协议及HTML有深入的了解4、精通正则表达式，DOM，XPath，CSS5、熟悉scrapy，selenium，常用反爬虫策略6、熟悉高并发、高性能的分布式系统设计及应用，有数据库调优，海量数据储存和7、处理经验者优先8、熟悉python开发框架，django或是flask优先9、具备良好的编程习惯和算法基础，具有较强的分析解决问题能力10、学习能力强，有一定的抗压能力，善于沟通和团队协作，乐于分享"
数据分析及开发工程师（Python）,上海喜士多便利连锁有限公司,民营,1000-9999人,10K-16K,本科,1-3年,全职,https://jobs.zhaopin.com/CC000584094J00315376302.htm,"工作描述：1、根据业务单位需求完成数据收集和整理；2、配合大数据分析师完成数据处理算法和应用的开发；3、研究当前成熟的AI技术对公司业务改善的可行性；岗位要求:1、计算机相关专业，精通python编程；2、对自然语言处理有兴趣；3、可以设计编写爬虫软件收集互联网数据，最好有一定的大数据处理经验。4、熟悉关系型数据库（Oracle/MySQL）和SQL语法；5、有良好的代码编写和管理习惯，熟悉一种主流的版本控制系统（SVN/Git）；6、善与人沟通、责任心强、具有团队合作精神、具备良好的自学能力和独立思考解决问题的能力。联系方式：杨小姐 ①③⑥⑥①⑨⑧⑥⑧②⑥"
